Position,Player,Points,Points/$,FanDuel Salary,Team,Opponent,FantasyData ID,DraftKings Salary,DK Proj. Points,Goals,Assists,Shots,(+/-),Block,PIM,PP G,PP A,Wins,Goals Against,Saves,Shutouts,Date,FanDuelID,DraftKingsID
W,Nikolaj Ehlers,12.41517667,2.3,5400,WPG,NAS,30000822,4500,3.590868455,0.3466475096,0.3921881652,2.795232014,0.01234567901,0.3415283099,0.3793103448,0.1981694338,0.1981694338,0,0,0,0,5/7/2018,58907,831074
D,Toby Enstrom,4.33981203,1.24,3500,WPG,NAS,30000823,2800,1.277744361,0.01953947368,0.1275845865,0.5021616541,0.1161654135,1.42575188,0.4,0,0,0,0,0,0,5/7/2018,8168,386998
D,Josh Morrissey,8.128673255,2.2,3700,WPG,NAS,30000826,3500,2.385538267,0.08492851135,0.2365433137,1.333052986,0.1476030278,1.917577796,0.4827586207,0.03235071489,0.03235071489,0,0,0,0,5/7/2018,42981,741443
W,Mathieu Perreault,7.551727329,2.36,3200,WPG,NAS,30000827,3600,2.279174845,0.1822891304,0.3045652174,1.339347826,0.1047826087,0.4133540373,0.5217391304,0.246826087,0.246826087,0,0,0,0,5/7/2018,9305,447273
C,Mark Scheifele,14.05234177,1.82,7700,WPG,NAS,30000830,7000,4.038310729,0.3945976492,0.5991561181,2.279535865,0.571880651,0.4581072936,0.2857142857,0.2873839662,0.2873839662,0,0,0,0,5/7/2018,15321,600098
D,Jacob Trouba,10.39684205,2.08,5000,WPG,NAS,30000834,4300,3.109634872,0.08955692308,0.3318461538,2.205230769,0.2254615385,1.927179487,0.64,0.1110666667,0.1110666667,0,0,0,0,5/7/2018,39245,659853
W,Blake Wheeler,15.24615733,2.03,7500,WPG,NAS,30000835,6600,4.481915948,0.2912392241,0.6887931034,3.019612069,0.2577586207,0.7771551724,0.6551724138,0.3322284483,0.3322284483,0,0,0,0,5/7/2018,8182,268147
W,Marko Dano,3.861026316,1.29,3000,WPG,NAS,30000861,2700,1.117690789,0.05666447368,0.09276315789,0.6414473684,-0.1490131579,0.8828947368,0.3,0,0,0,0,0,0,5/7/2018,53527,741467
D,Ben Chiarot,5.323157895,1.52,3500,WPG,NAS,30001063,3000,1.549150718,0.02605263158,0.1895933014,0.8249601276,0.2535885167,1.358652313,0.6060606061,0,0,0,0,0,0,5/7/2018,13742,547578
C,Adam Lowry,5.628146429,1.82,3100,WPG,NAS,30001070,3100,1.661509821,0.13550625,0.12125,1.203125,0.11125,0.6678571429,0.1714285714,0.077,0.077,0,0,0,0,5/7/2018,15346,607959
C,Bryan Little,6.362599343,1.41,4500,WPG,NAS,30001298,3400,1.909001642,0.1651625616,0.2371921182,1.11001642,-0.0118226601,0.3814997263,0.3103448276,0.1933716475,0.1933716475,0,0,0,0,5/7/2018,8162,329645
D,Tyler Myers,6.73062069,1.73,3900,WPG,NAS,30001299,3700,2.138862069,0.07168965517,0.2775862069,1.231034483,"",0.9655172414,0.5862068966,0.2703448276,0.2703448276,0,0,0,0,5/7/2018,8211,456704
W,Kyle Connor,12.65664161,2.69,4700,WPG,NAS,30002772,5100,3.575587413,0.3925384615,0.3597902098,2.881468531,0.0493006993,0.2508741259,0.2307692308,0.1122202797,0.1122202797,0,0,0,0,5/7/2018,70125,878048
W,Jack Roslovic,5.750526316,1.92,3000,WPG,NAS,30002824,2700,1.971315789,0.01953947368,0.4490131579,0.2664473684,0.01973684211,0.7828947368,0,0.49,0.49,0,0,0,0,5/7/2018,74047,878056
W,Brandon Tanev,4.738347826,1.35,3500,WPG,NAS,30003053,4000,1.379483982,0.04836727689,0.1299485126,0.720423341,0.2238558352,1.228546911,0.2608695652,0,0,0,0,0,0,5/7/2018,68646,913797
W,Patrik Laine,13.36399389,1.76,7600,WPG,NAS,30003131,6200,3.932806635,0.4349345264,0.3260584897,2.922959406,-0.1039938891,0.4462025316,0.3448275862,0.2913051069,0.2913051069,0,0,0,0,5/7/2018,70900,920211
D,Tucker Poolman,4.162526316,0.64,6500,WPG,NAS,30003571,2600,1.230565789,0.04428947368,0.07401315789,0.7164473684,0.2447368421,1.182894737,0,0,0,0,0,0,0,5/7/2018,"",""
